"zone","state","lga","sector","ea","hhid","plotid","s11c1q1a1","s11c1q1a2","s11c1q1a3","s11c1q1a4","s11c1q1b1","s11c1q1b2","s11c1q1b3","s11c1q1b4","s11c1q1c1","s11c1q1c2","s11c1q1c3","s11c1q1c4","s11c1q1d1","s11c1q1d2","s11c1q1d3","s11c1q1d4","s11c1q2","s11c1q3","s11c1q4","s11c1q5","s11c1q6","s11c1q7","s11c1q8","s11c1q9","s11c1q10","s11c1q11","s11c1q12","s11c1q12_os"
3,18,1820,2,450,180098,2,1,26,6,4,2,26,6,6,3,8,2,3,4,5,2,3,0,,,0,,,0,,,2,2,
3,18,1820,2,450,180098,3,1,26,6,8,2,26,6,8,3,8,2,3,4,5,2,3,0,,,2,2,1500,0,,,2,2,
3,18,1820,2,450,180099,1,1,8,5,16,2,8,5,16,3,8,5,16,11,8,5,12,10,2,5000,4,2,2000,0,,,2,4,"ON THE HILL"
3,18,1820,2,450,180100,1,2,16,4,4,4,13,3,4,,,,,,,,,0,,,0,,,0,,,2,2,
3,18,1820,2,450,180100,2,2,15,4,3,4,14,2,3,,,,,,,,,0,,,0,,,0,,,2,2,
3,18,1822,2,1654,180101,1,1,3,7,8,2,2,6,8,3,3,6,8,,,,,3,7,3220,0,,,0,,,2,1,
3,18,1822,2,1654,180101,2,5,2,7,8,1,2,6,8,3,2,6,8,,,,,2,7,3150,0,,,0,,,2,1,
3,18,1822,2,1654,180101,3,1,1,3,3,,,,,,,,,,,,,1,1,1000,0,,,0,,,2,1,
3,18,1822,2,1654,180102,1,1,8,6,17,3,6,4,15,4,6,4,10,9,5,5,14,2,4,4200,0,,,0,,,2,3,
3,18,1822,2,1654,180102,2,,,,,,,,,,,,,,,,,0,,,0,,,0,,,2,3,
3,18,1822,2,1654,180103,1,4,26,5,7,6,26,3,3,8,26,5,4,11,26,5,7,5,3,12000,4,2,2000,0,,,2,3,
3,18,1822,2,1654,180103,2,4,26,5,7,6,18,2,3,8,26,4,4,11,26,5,7,4,2,8000,4,2,4000,0,,,2,3,
3,18,1822,2,1654,180103,3,4,26,5,7,6,20,3,2,8,26,5,11,11,26,5,7,2,4,8000,2,1,4000,0,,,2,3,
3,18,1822,2,1654,180104,1,1,25,6,5,5,6,5,5,8,6,5,5,,,,,0,,,0,,,0,,,2,3,
3,18,1822,2,1654,180104,2,1,25,6,5,5,6,5,5,8,6,5,5,,,,,0,,,0,,,0,,,2,3,
3,18,1822,2,1654,180104,3,1,25,6,5,5,6,5,5,8,6,5,5,,,,,0,,,0,,,0,,,2,3,
3,18,1822,2,1654,180105,1,1,1,4,3,,,,,,,,,,,,,3,3,1500,0,,,0,,,2,1,
3,18,1822,2,1654,180105,2,1,1,3,3,,,,,,,,,,,,,3,1,1500,0,,,0,,,2,1,
3,18,1822,2,1654,180105,3,1,1,2,3,,,,,,,,,,,,,3,1,1500,0,,,0,,,2,1,
3,18,1822,2,1654,180106,1,1,22,6,5,2,10,3,2,3,22,6,5,6,22,2,7,4,2,4000,0,,,0,,,2,2,
3,18,1822,2,1654,180106,2,1,22,6,5,2,10,3,2,3,22,6,5,6,22,4,2,12,1,6000,0,,,0,,,2,2,
3,18,1822,2,1654,180108,1,1,2,5,16,3,2,5,14,5,2,4,10,,,,,7,1,30000,2,2,1000,0,,,2,1,
3,18,1822,2,1654,180109,1,1,15,2,2,4,15,3,2,,,,,,,,,5,10,5000,4,10,2000,0,,,2,2,
3,18,1822,2,1654,180109,2,,,,,,,,,,,,,,,,,0,,,0,,,0,,,2,2,
3,18,1817,2,0,180110,1,1,13,5,4,,,,,,,,,,,,,0,,,0,,,0,,,2,3,
3,18,1814,2,678,180111,1,1,4,5,8,5,5,5,14,6,5,5,4,,,,,0,,,0,,,0,,,2,3,
3,18,1814,2,678,180111,2,1,5,5,9,5,5,5,10,,,,,,,,,0,,,0,,,0,,,2,3,
3,18,1814,2,678,180111,3,1,6,6,15,,,,,,,,,,,,,0,,,0,,,0,,,2,3,
3,18,1814,2,678,180112,1,1,4,5,16,,,,,,,,,,,,,0,,,0,,,0,,,2,3,
3,18,1814,2,678,180113,1,1,15,5,5,,,,,,,,,,,,,3,30,1500,0,,,0,,,2,3,
3,18,1814,2,678,180117,1,1,26,5,4,3,18,4,4,6,18,3,3,7,18,3,3,2,2,4500,0,,,0,,,2,2,
3,18,1814,2,0,180118,1,1,12,6,4,4,12,6,4,6,12,6,4,,,,,0,,,0,,,0,,,2,1,
3,18,1814,2,0,180118,2,1,12,4,3,4,12,4,2,,,,,,,,,0,,,0,,,0,,,2,1,
3,18,1814,2,0,180118,3,1,12,5,4,4,12,5,2,,,,,,,,,0,,,0,,,0,,,2,1,
2,5,517,2,0,180119,1,1,12,4,5,3,17,6,5,5,4,6,5,,,,,0,,,0,,,0,,,2,2,
2,5,517,2,0,180119,2,1,10,4,5,3,10,3,5,5,3,3,5,,,,,0,,,0,,,0,,,2,2,
2,5,517,2,0,180119,3,1,10,3,5,3,10,3,5,5,2,3,5,,,,,0,,,0,,,0,,,2,2,
3,18,1814,2,0,180120,1,1,12,6,4,5,21,4,2,,,,,,,,,4,4,10000,0,,,0,,,2,2,
3,19,1943,2,668,190021,1,1,13,7,5,7,13,7,5,8,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1943,2,668,190021,2,1,13,7,5,7,13,7,5,8,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1943,2,668,190022,1,1,13,6,5,,,,,,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1943,2,668,190022,2,1,13,6,5,,,,,,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1943,2,668,190023,1,1,11,5,12,,,,,,,,,,,,,3,4,400,3,4,200,4,2,200,2,2,
3,19,1943,2,668,190023,2,1,10,5,12,,,,,,,,,,,,,3,4,400,3,4,200,4,2,200,2,2,
3,19,1943,2,668,190024,1,1,13,7,4,3,13,7,4,,,,,,,,,8,7,1600,0,,,0,,,2,3,
3,19,1943,2,668,190025,1,1,10,6,16,,,,,,,,,,,,,3,4,400,2,2,300,4,3,200,2,3,
3,19,1943,2,668,190025,2,1,10,5,15,,,,,,,,,,,,,3,4,400,2,2,300,4,3,200,2,3,
3,19,1943,2,668,190026,1,1,14,7,40,3,14,7,25,,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1943,2,668,190026,2,1,14,7,40,3,14,7,25,,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1943,2,668,190027,1,1,14,7,14,3,14,7,5,,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1943,2,668,190027,2,1,14,7,14,3,14,7,5,,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1943,2,668,190029,1,1,13,7,4,7,13,7,4,,,,,,,,,0,,,0,,,0,,,2,3,
3,19,1943,2,668,190029,2,1,13,7,4,7,13,7,4,,,,,,,,,4,1,1600,0,,,0,,,2,3,
3,19,1943,2,668,190030,1,1,13,5,12,,,,,,,,,,,,,2,3,200,0,,,2,3,100,2,3,
3,19,1943,2,668,190030,2,1,13,5,10,,,,,,,,,,,,,2,3,200,0,,,2,3,100,2,3,
3,19,1916,2,1516,190031,1,1,16,7,10,,,,,,,,,,,,,4,2,8000,0,,,0,,,2,2,
3,19,1916,2,1516,190031,2,1,16,7,10,,,,,,,,,,,,,4,2,8000,0,,,0,,,2,2,
3,19,1916,2,1516,190032,1,1,16,7,10,3,16,7,8,,,,,,,,,2,5,12500,0,,,0,,,2,2,
3,19,1916,2,1516,190032,2,1,16,7,10,3,16,7,8,,,,,,,,,3,5,12500,0,,,0,,,2,2,
3,19,1916,2,1516,190033,1,1,13,7,5,3,13,7,3,4,13,7,3,,,,,0,,,0,,,0,,,2,3,
3,19,1916,2,1516,190033,2,1,13,7,2,3,13,7,2,4,13,7,2,,,,,0,,,0,,,0,,,2,3,
3,19,1916,2,1516,190034,1,1,14,7,6,,,,,,,,,,,,,3,2,6000,0,,,0,,,2,2,
3,19,1916,2,1516,190034,2,1,14,7,6,,,,,,,,,,,,,3,2,6000,0,,,0,,,2,2,
3,19,1916,2,1516,190035,1,1,14,7,6,3,14,7,6,4,14,7,6,5,14,7,6,0,,,0,,,0,,,2,2,
3,19,1916,2,1516,190035,2,1,14,7,6,3,14,7,6,4,14,7,6,5,14,7,6,0,,,0,,,0,,,2,2,
3,19,1916,2,1516,190035,3,1,14,7,6,3,14,7,6,4,14,7,6,5,14,7,6,0,,,0,,,0,,,2,2,
3,19,1916,2,1516,190035,4,1,14,7,6,3,14,7,6,4,14,7,6,5,14,7,6,0,,,0,,,0,,,2,2,
3,19,1916,2,1516,190036,1,1,10,5,10,4,12,5,12,,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1916,2,1516,190036,2,1,9,5,10,4,12,5,12,,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1916,2,1516,190036,3,1,10,5,10,4,12,5,12,,,,,,,,,0,,,0,,,0,,,2,2,
3,19,1916,2,1516,190037,1,1,13,7,4,4,13,7,4,7,13,7,4,,,,,4,2,2000,0,,,0,,,2,3,
3,19,1916,2,1516,190037,2,1,13,7,4,4,13,7,4,7,13,7,4,,,,,4,2,2000,0,,,0,,,2,3,
3,19,1916,2,1516,190038,1,3,8,5,4,,,,,,,,,,,,,7,1,2500,0,,,3,1,500,2,3,
3,19,1916,2,1516,190038,2,3,8,3,3,,,,,,,,,,,,,7,1,2500,0,,,3,1,500,2,3,
3,19,1916,2,1516,190039,1,1,10,5,10,4,12,5,12,,,,,,,,,2,2,500,2,3,350,2,3,200,2,3,
3,19,1916,2,1516,190039,2,1,9,5,10,4,12,5,12,,,,,,,,,2,2,500,2,3,350,2,3,200,2,3,
3,19,1916,2,1516,190040,1,1,10,6,13,3,13,5,15,4,13,5,15,6,9,5,10,5,7,400,20,2,300,0,,,2,3,
3,19,1916,2,1516,190040,2,1,10,6,13,3,13,5,15,4,13,5,15,6,9,5,10,5,7,400,20,2,300,0,,,2,3,
3,19,1916,2,1516,190040,3,1,10,6,13,3,13,5,15,4,13,5,15,6,9,5,10,5,7,400,20,2,300,0,,,2,3,
3,19,1901,2,640,190041,1,1,10,5,13,3,8,4,10,4,8,5,9,5,6,4,10,4,5,400,10,3,250,2,2,150,1,,
3,19,1901,2,640,190041,2,1,12,6,16,3,10,4,10,4,7,5,9,5,6,4,10,5,5,400,10,3,250,3,2,150,1,,
3,19,1901,2,640,190042,1,4,10,7,4,5,10,7,4,,,,,,,,,4,5,1200,0,,,0,,,2,3,
3,19,1901,2,640,190042,2,,,,,,,,,,,,,,,,,4,5,1200,0,,,0,,,2,3,
3,19,1901,2,640,190043,1,1,10,3,5,,,,,,,,,,,,,5,7,10500,0,,,0,,,2,2,
3,19,1901,2,640,190043,2,1,10,3,5,,,,,,,,,,,,,5,7,10500,0,,,0,,,2,2,
3,19,1901,2,640,190044,1,1,4,5,12,8,3,4,10,9,3,4,12,,,,,0,,,0,,,0,,,2,2,
3,19,1901,2,640,190044,2,1,4,5,12,8,3,4,10,9,3,4,12,,,,,0,,,0,,,0,,,2,2,
3,19,1901,2,640,190045,1,1,2,7,6,3,2,7,5,9,2,3,4,8,1,5,7,5,1,400,5,1,500,3,3,200,1,,
