country,start_yr,end_yr,zone,state,avg_rep_fert,avg_npk,avg_urea,avg_composite_manure,avg_other,avg_o_fert,avg_io_fert,num_hh_fert,avg_pest,avg_herb,num_hh_phf
nigeria,2010,2011,6,13,0.03225806451612903,0.03225806451612903,0,0,0,0,0.03225806451612903,31,0.45161290322580644,0.12903225806451613,31
nigeria,2010,2011,6,24,0.3,0,0,0,0.3,0,0,10,0,0,10
nigeria,2010,2011,6,27,0,0,0,0,0,0,0,19,0.05263157894736842,0.05263157894736842,19
nigeria,2010,2011,6,28,0.14285714285714285,0.10714285714285714,0,0,0.05357142857142857,0,0.10714285714285714,56,0.6181818181818182,0.18181818181818182,55
nigeria,2010,2011,6,29,0.09230769230769231,0,0.046153846153846156,0,0.046153846153846156,0,0.046153846153846156,65,0.3230769230769231,0.46153846153846156,65
nigeria,2010,2011,6,30,0.06493506493506493,0.06493506493506493,0,0,0,0,0.06493506493506493,77,0.16666666666666666,0.19230769230769232,78
nigeria,2015,2016,1,7,0.2158273381294964,0.12949640287769784,0.1079136690647482,0,0.03597122302158273,0,0.20863309352517986,139,0.08633093525179857,0.5251798561151079,139
nigeria,2015,2016,1,22,0.13559322033898305,0.1016949152542373,0.01694915254237288,0,0.03389830508474576,0,0.1016949152542373,59,0.13559322033898305,0.288135593220339,59
nigeria,2015,2016,1,23,0.46153846153846156,0.46153846153846156,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.46153846153846156,39,0.5641025641025641,0.8717948717948718,39
nigeria,2015,2016,1,25,0.4642857142857143,0.17857142857142858,0.125,0,0.19642857142857142,0,0.26785714285714285,56,0.23214285714285715,0.8928571428571429,56
nigeria,2015,2016,1,26,0.735632183908046,0.40229885057471265,0.2413793103448276,0,0.1724137931034483,0,0.5747126436781609,87,0.14942528735632185,0.7471264367816092,87
nigeria,2015,2016,1,31,0.7978723404255319,0.6382978723404256,0.18085106382978725,0,0.1595744680851064,0,0.6595744680851063,94,0.0851063829787234,0.425531914893617,94
nigeria,2015,2016,1,37,0.6363636363636364,0.45454545454545453,0.2727272727272727,0,0,0,0.6363636363636364,11,0.2727272727272727,1,11
nigeria,2015,2016,2,2,0.39622641509433965,0.18867924528301888,0.1509433962264151,0,0.12264150943396226,0,0.3018867924528302,106,0.22641509433962265,0.7452830188679245,106
nigeria,2015,2016,2,5,0.9064748201438849,0.697841726618705,0.35251798561151076,0,0.2805755395683453,0,0.7769784172661871,139,0.17266187050359713,0.6115107913669064,139
nigeria,2015,2016,2,8,0.5238095238095238,0.21428571428571427,0.42857142857142855,0,0.09523809523809523,0,0.5,42,0.40476190476190477,0.5,42
nigeria,2015,2016,2,15,0.7368421052631579,0.45614035087719296,0.24561403508771928,0,0.22807017543859648,0,0.6666666666666666,57,0.7543859649122807,0.40350877192982454,57
nigeria,2015,2016,2,34,0.23863636363636365,0.20454545454545456,0.056818181818181816,0,0.03409090909090909,0,0.2159090909090909,88,0.14772727272727273,0.5340909090909091,88
nigeria,2015,2016,2,35,0.59375,0.015625,0,0,0.578125,0,0.015625,64,0.140625,0.078125,64
nigeria,2015,2016,3,17,0.9259259259259259,0.2777777777777778,0.35185185185185186,0,0.37037037037037035,0,0.5648148148148148,108,0.48148148148148145,0.10185185185185185,108
nigeria,2015,2016,3,18,0.9382716049382716,0.6666666666666666,0.30864197530864196,0,0.2345679012345679,0,0.7901234567901234,81,0.48148148148148145,0.5802469135802469,81
nigeria,2015,2016,3,19,0.9683544303797469,0.47468354430379744,0.41139240506329117,0,0.33544303797468356,0,0.6708860759493671,158,0.5632911392405063,0.3037974683544304,158
nigeria,2015,2016,3,20,0.952054794520548,0.3424657534246575,0.4520547945205479,0,0.2328767123287671,0,0.7602739726027398,146,0.4589041095890411,0.17123287671232876,146
nigeria,2015,2016,3,21,0.675,0.375,0.125,0,0.175,0,0.5,80,0.1125,0.2125,80
nigeria,2015,2016,3,33,1,0.10526315789473684,0.4342105263157895,0,0.4605263157894737,0,0.5394736842105263,76,0.4473684210526316,0.27631578947368424,76
nigeria,2015,2016,3,36,0.9753086419753086,0.6172839506172839,0.20987654320987653,0,0.1728395061728395,0,0.8024691358024691,81,0.8518518518518519,0.6790123456790124,81
nigeria,2015,2016,4,1,0.5,0.2903225806451613,0.14516129032258066,0,0.12903225806451613,0,0.3709677419354839,62,0.12903225806451613,0.04838709677419355,62
nigeria,2015,2016,4,4,0.5782312925170068,0.3129251700680272,0,0,0.2857142857142857,0,0.3129251700680272,147,0.061224489795918366,0.1292517006802721,147
nigeria,2015,2016,4,11,0.784,0.44,0.336,0,0.064,0,0.728,125,0,0.048,125
nigeria,2015,2016,4,14,0.47191011235955055,0.1348314606741573,0.02247191011235955,0,0.3258426966292135,0,0.15730337078651685,89,0.011235955056179775,0.11235955056179775,89
nigeria,2015,2016,4,16,0.4864864864864865,0.25,0,0,0.24324324324324326,0,0.25,148,0.0472972972972973,0,148
nigeria,2015,2016,5,3,0.1744186046511628,0.10465116279069768,0,0,0.06976744186046512,0,0.10465116279069768,86,0.011627906976744186,0,86
nigeria,2015,2016,5,6,0,0,0,0,0,0,0,19,0,0.2631578947368421,19
nigeria,2015,2016,5,9,0.08421052631578947,0.07368421052631578,0,0,0.010526315789473684,0,0.07368421052631578,95,0.06315789473684211,0.28421052631578947,95
nigeria,2015,2016,5,10,0.3275862068965517,0.15517241379310345,0.1206896551724138,0,0.05172413793103448,0,0.27586206896551724,58,0.15517241379310345,0.3620689655172414,58
nigeria,2015,2016,5,12,0,0,0,0,0,0,0,42,0,0.7142857142857143,42
nigeria,2015,2016,5,32,0.0379746835443038,0,0.012658227848101266,0,0.02531645569620253,0,0.012658227848101266,79,0.012658227848101266,0,79
nigeria,2015,2016,6,13,0.03333333333333333,0.03333333333333333,0,0,0,0,0.03333333333333333,30,0.4,0.3,30
nigeria,2015,2016,6,24,0.4,0.4,0,0,0,0,0.4,10,0.2,0.2,10
nigeria,2015,2016,6,27,0,0,0,0,0,0,0,11,0.18181818181818182,0.09090909090909091,11
nigeria,2015,2016,6,28,0.044444444444444446,0.022222222222222223,0,0,0.022222222222222223,0,0.022222222222222223,45,0.7111111111111111,0.26666666666666666,45
nigeria,2015,2016,6,29,0.25,0.13333333333333333,0.06666666666666667,0,0.05,0,0.2,60,0.6610169491525424,0.5932203389830508,59
nigeria,2015,2016,6,30,0.11538461538461539,0.019230769230769232,0.038461538461538464,0,0.057692307692307696,0,0.057692307692307696,52,0.2692307692307692,0.34615384615384615,52
