household_id,household_id2,ea_id,ea_id2,coord_desc,dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2013_eviarea,h2013_evimax,h2013_grn,h2013_sen,lat_dd_mod,lon_dd_mod
01010300106064,010103010100106064,01010300106,010103010100106,1,0,21,87.3,198.8,128,5000-10000,195,188,784,262,597,9,110,322,1994,13,8,1,1,4,1,1,1,4,873,678,17,1560,821,20,47,0.4355,178,257,45,0.4397,185,260,14.1097608206,38.4738350524
01010300106076,010103010100106076,01010300106,010103010100106,1,0,21,87.3,198.8,128,5000-10000,195,188,784,262,597,9,110,322,1994,13,8,1,1,4,1,1,1,4,873,678,17,1560,821,20,47,0.4355,178,257,45,0.4397,185,260,14.1097608206,38.4738350524
01010300106088,010103010100106088,01010300106,010103010100106,1,0,21.1,87.3,198.9,128,5000-10000,195,188,784,262,597,7,110,322,2005,12,8,1,1,4,1,1,1,4,873,678,17,1560,821,20,47,0.4355,178,257,45,0.4397,185,260,14.1097608206,38.4738350524
01010300106100,010103010100106100,01010300106,010103010100106,1,0,21,87.3,198.8,128,5000-10000,195,188,784,262,597,9,110,322,1994,13,8,1,1,4,1,1,1,4,873,678,17,1560,821,20,47,0.4355,178,257,45,0.4397,185,260,14.1097608206,38.4738350524
01010300106112,010103010100106112,01010300106,010103010100106,1,0.1,21.1,87.4,198.9,128,5000-10000,195,188,784,262,597,7,110,322,1995,14,8,1,1,4,1,1,1,4,873,677,17,1560,821,20,47,0.4355,178,257,45,0.4397,185,260,14.1097608206,38.4738350524
01010300106124,010103010100106124,01010300106,010103010100106,1,0,21,87.3,198.8,128.1,5000-10000,195,188,784,262,597,9,110,322,1992,13,8,1,1,4,1,1,1,4,873,678,17,1560,821,20,47,0.4355,178,257,45,0.4397,185,260,14.1097608206,38.4738350524
01010300106136,010103010100106136,01010300106,010103010100106,1,0.2,20.9,87.4,198.7,128.2,5000-10000,195,188,784,262,597,10,110,322,1987,15,8,1,1,4,1,1,1,4,873,677,17,1559,820,20,47,0.4355,178,257,45,0.4397,185,260,14.1097608206,38.4738350524
01010301804004,010103088801804004,01010301804,010103088801804,1,26.8,35.3,63.1,203.3,115.5,50-100,221,212,796,254,608,58,20,322,1679,17,13,1,1,5,1,1,1,5,930,723,18,1501,787,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010301804019,010103088801804019,01010301804,010103088801804,1,26.9,35.5,63.4,203.6,115.2,50-100,218,208,796,256,611,66,20,322,1709,17,8,1,1,5,1,1,1,5,929,722,18,1501,788,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010301804034,010103088801804034,01010301804,010103088801804,1,26.9,35.6,63.6,203.9,114.9,50-100,218,208,796,256,611,79,14,322,1737,12,8,1,1,5,1,1,1,5,928,721,18,1502,788,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010301804049,010103088801804049,01010301804,010103088801804,1,27,35.8,63.8,204.2,114.6,50-100,218,208,796,256,611,86,14,322,1735,15,8,1,1,5,1,1,1,5,927,720,18,1503,788,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010301804051,010103088801804051,01010301804,010103088801804,1,27.1,36,64,204.5,114.4,50-100,218,208,796,256,611,93,14,322,1750,12,8,1,1,5,1,1,1,5,926,719,18,1503,789,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
