"household_id2","ea_id2","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","pop_density","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","srtm","twi","srtm_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2015_tot","h2015_wetQ","h2015_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2015_eviarea","h2015_evimax","h2015_grn","h2015_sen","lat_dd_mod","lon_dd_mod"
"010103088801804130","010103088801804",28,37,63,205,114,"100-200",221,212,790,254,605,96,14,322,1704,12,13,1,1,4,1,1,1,4,993,808,17,1626,1358,17,46,0.432,177,257,40,0.386,173,256,13.8440840301,38.4803250395
"010103088801804145","010103088801804",28,37,63,205,114,"100-200",221,212,790,254,605,97,14,322,1756,12,13,1,1,4,1,1,1,4,994,808,17,1626,1358,17,46,0.432,177,257,40,0.386,173,256,13.8440840301,38.4803250395
"010105088800204001","010105088800204",24,30,73,148,173,"50-100",260,252,738,229,552,85,14,312,1154,12,8,1,1,4,1,1,1,4,1070,857,18,1513,1062,19,46,0.432,177,257,40,0.386,173,256,14.0862760222,37.9831865445
"010105088800204025","010105088800204",28,35,74,144,177,"50-100",262,255,721,223,539,73,30,312,1082,13,3,1,1,4,1,1,1,4,1074,861,18,1510,1035,19,46,0.432,177,257,40,0.386,173,256,14.0862760222,37.9831865445
"010105088800204049","010105088800204",26,32,74,147,174,"50-100",262,254,725,224,541,88,14,312,1141,12,8,1,1,4,1,1,1,4,1069,857,18,1513,1053,19,46,0.432,177,257,40,0.386,173,256,14.0862760222,37.9831865445
"010105088800204073","010105088800204",26,31,75,147,175,"50-100",262,255,721,223,538,56,30,312,1085,12,8,1,1,4,1,1,1,4,1065,853,18,1509,1052,19,46,0.432,177,257,40,0.386,173,256,14.0862760222,37.9831865445
"010105088800204097","010105088800204",26,31,75,147,175,"50-100",262,255,721,223,538,56,30,312,1090,12,8,1,1,4,1,1,1,4,1065,853,18,1509,1053,19,46,0.432,177,257,40,0.386,173,256,14.0862760222,37.9831865445
"010105088800204121","010105088800204",28,33,75,145,176,"50-100",263,256,714,221,534,54,30,312,1077,12,8,1,1,4,1,1,1,4,1068,856,18,1507,1043,19,46,0.432,177,257,40,0.386,173,256,14.0862760222,37.9831865445
"010105088800204142","010105088800204",0,0,77,178,146,"10000-20000",204,194,903,296,689,27,110,322,1901,13,3,1,1,2,1,1,1,2,1019,833,18,1515,1210,17,46,0.432,177,257,40,0.386,173,256,14.0775572909,38.3156776092
"010105088800204145","010105088800204",26,31,75,147,175,"50-100",262,255,721,223,538,56,30,312,1090,12,8,1,1,4,1,1,1,4,1064,853,18,1509,1053,19,46,0.432,177,257,40,0.386,173,256,14.0862760222,37.9831865445
"010105088800204169","010105088800204",26,31,75,147,175,"50-100",262,255,721,223,538,56,30,312,1086,12,8,1,1,4,1,1,1,4,1064,853,18,1509,1053,19,46,0.432,177,257,40,0.386,173,256,14.0862760222,37.9831865445
"010105088800204193","010105088800204",25,30,75,148,174,"50-100",261,254,725,224,541,85,14,312,1129,13,8,1,1,4,1,1,1,4,1063,852,18,1510,1059,19,46,0.432,177,257,40,0.386,173,256,14.0862760222,37.9831865445
"010105088800204217","010105088800204",25,30,75,148,174,"50-100",261,254,725,224,541,95,14,312,1119,13,8,1,1,4,1,1,1,4,1065,853,18,1511,1059,19,46,0.432,177,257,40,0.386,173,256,14.0862760222,37.9831865445
"010106088800402002","010106088800402",2,54,23,176,147,"50-100",246,236,782,243,589,43,30,322,1321,13,13,1,1,1,1,1,1,2,1076,864,18,1554,1184,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010106088800402014","010106088800402",2,54,23,175,147,"50-100",246,236,782,243,589,37,30,322,1324,13,8,1,1,1,1,1,1,2,1077,865,18,1555,1185,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010106088800402021","010106088800402",3,54,23,175,147,"50-100",246,236,782,243,589,34,30,322,1325,14,8,1,1,1,1,1,1,2,1077,865,18,1555,1185,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010106088800402039","010106088800402",2,54,23,176,147,"50-100",245,235,786,245,593,37,30,322,1312,12,8,1,1,1,1,1,1,2,1077,865,18,1555,1185,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010106088800402057","010106088800402",2,55,22,176,147,"50-100",245,235,786,245,593,23,110,322,1308,12,8,1,1,1,1,1,1,2,1077,865,18,1555,1184,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010106088800402075","010106088800402",4,54,23,174,149,"50-100",244,234,795,247,600,35,110,322,1342,10,8,1,1,1,1,1,1,2,1080,868,18,1557,1188,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
